user_id,traffic_bytes,duration_sec,frequency,TScore_category,DScore_category,FScore_category,custom_category,country,city,TDF_Score_By_Custom_Category
942,289313697.0,57409.0,2819.0,9,9,9,Books,China,big_chinese_city,999
836,126418688.0,8764.0,547.0,9,9,9,Books,China,big_chinese_city,999
772,89066952.0,10538.0,610.0,9,9,9,Books,China,big_chinese_city,999
793,80044876.0,3002.0,89.0,9,9,9,Books,China,big_chinese_city,999
655,78944081.0,5314.0,90.0,9,9,9,Books,China,big_chinese_city,999
718,46072256.0,1773.0,30.0,9,9,8,Books,China,big_chinese_city,998
533,36874424.0,2915.0,24.0,9,9,7,Books,China,big_chinese_city,997
990,32309688.0,2699.0,39.0,9,9,8,Books,China,big_chinese_city,998
799,29751547.0,320.0,7.0,9,8,5,Books,China,big_chinese_city,985
815,25161141.0,760.0,43.0,9,9,8,Books,China,big_chinese_city,998
174,24845504.0,2365.0,52.0,9,9,9,Books,China,big_chinese_city,999
783,18360738.0,1366.0,221.0,9,9,9,Books,China,big_chinese_city,999
872,14910291.0,26.0,11.0,9,4,6,Books,China,big_chinese_city,946
105,14192367.0,1772.0,18.0,9,9,7,Books,China,big_chinese_city,997
138,13987086.0,3859.0,65.0,9,9,9,Books,China,big_chinese_city,999
826,12454161.0,1542.0,69.0,9,9,9,Books,China,big_chinese_city,999
406,12077611.0,261.0,5.0,9,7,4,Books,China,big_chinese_city,974
837,11440944.0,2655.0,430.0,9,9,9,Books,China,big_chinese_city,999
624,10019351.0,336.0,14.0,9,8,6,Books,China,big_chinese_city,986
430,9780238.0,8499.0,593.0,9,9,9,Books,China,big_chinese_city,999
705,8674660.0,1381.0,36.0,9,9,8,Books,China,big_chinese_city,998
79,7871634.0,595.0,22.0,9,8,7,Books,China,big_chinese_city,987
890,7723970.0,1447.0,26.0,9,9,8,Books,China,big_chinese_city,998
223,7421535.0,1072.0,38.0,9,9,8,Books,China,big_chinese_city,998
264,7086201.0,2821.0,183.0,9,9,9,Books,China,big_chinese_city,999
270,7084510.0,367.0,13.0,9,8,6,Books,China,big_chinese_city,986
914,7051078.0,11114.0,171.0,9,9,9,Books,China,big_chinese_city,999
351,6833405.0,5674.0,174.0,9,9,9,Books,China,big_chinese_city,999
670,6716839.0,3214.0,106.0,9,9,9,Books,China,big_chinese_city,999
781,6526336.0,644.0,35.0,9,8,8,Books,China,big_chinese_city,988
691,6020104.0,469.0,54.0,9,8,9,Books,China,big_chinese_city,989
322,5992755.0,1754.0,38.0,9,9,8,Books,China,big_chinese_city,998
676,5635200.0,865.0,23.0,9,9,7,Books,China,big_chinese_city,997
757,5481895.0,85.0,8.0,9,6,6,Books,China,big_chinese_city,966
832,5304260.0,3097.0,388.0,9,9,9,Books,China,big_chinese_city,999
