user_id,traffic_bytes,duration_sec,frequency,T,D,F,TDF_Score,Books,Business,Education,Entertainment,Finance,Games,Health&Fitness ,Lifestyle ,Music,Navigation,News,Photo&Video,References ,Shopping,Social_Networking,Travel,Utilities,Weather,infant&mom,sports,country,city
942,37438370971.0,12523302.0,474051.0,8,8,8,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,China,big_chinese_city
772,8505699172.0,1893671.0,82460.0,8,8,8,888,888,0,888,888,888,888,777,888,888,888,888,888,888,888,888,888,888,888,851,888,China,big_chinese_city
837,2954388215.0,843211.0,44828.0,8,8,8,888,888,0,876,888,888,888,345,888,888,888,888,888,888,888,888,888,888,888,0,888,China,big_chinese_city
723,2199940227.0,718885.0,31017.0,8,8,8,888,788,0,431,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,431,888,China,big_chinese_city
667,1974879358.0,447621.0,22576.0,8,8,8,888,888,0,887,888,888,888,476,888,888,888,888,456,888,888,888,888,888,888,0,778,China,big_chinese_city
832,1897066280.0,433895.0,21231.0,8,8,8,888,888,0,0,888,787,888,0,888,888,888,888,778,878,888,888,888,888,788,884,778,China,big_chinese_city
836,1845982951.0,618747.0,33899.0,8,8,8,888,888,0,677,888,888,888,557,888,888,888,888,778,888,888,888,888,888,888,0,888,China,big_chinese_city
521,1606903898.0,319990.0,4485.0,8,8,8,888,0,0,0,0,546,888,0,887,444,578,887,0,0,231,888,323,888,0,0,0,China,big_chinese_city
782,1535290519.0,330316.0,19776.0,8,8,8,888,888,0,667,888,888,888,0,888,888,888,888,878,888,888,888,888,888,778,0,888,China,big_chinese_city
843,1456912148.0,149896.0,6599.0,8,8,8,888,777,0,0,888,888,888,0,778,888,888,878,887,786,788,888,888,888,0,0,666,China,big_chinese_city
516,1420583533.0,74083.0,3425.0,8,7,7,877,867,0,0,746,888,756,0,777,677,887,888,0,888,654,877,666,888,334,0,876,China,big_chinese_city
315,1303032814.0,124122.0,5031.0,8,8,8,888,766,0,0,788,435,788,0,577,767,888,888,533,547,545,888,565,888,687,0,888,China,big_chinese_city
783,1160496262.0,347031.0,18165.0,8,8,8,888,888,0,0,888,888,888,0,888,888,888,888,766,888,888,888,888,888,778,0,888,China,big_chinese_city
979,1132615305.0,260893.0,13242.0,8,8,8,888,878,0,668,888,888,888,0,888,778,888,888,552,875,888,888,878,888,888,0,875,China,big_chinese_city
655,1052398056.0,119479.0,4743.0,8,8,8,888,888,0,0,788,788,887,421,888,877,888,556,223,522,565,888,888,888,0,0,888,China,big_chinese_city
95,1049191843.0,127646.0,2287.0,8,8,6,886,232,0,0,526,635,888,0,834,0,886,888,0,0,723,886,433,887,0,0,0,China,big_chinese_city
225,1035006277.0,198595.0,646.0,8,8,3,883,335,0,0,0,0,883,0,223,0,673,884,0,0,111,883,421,884,0,0,0,China,big_chinese_city
325,924231536.0,198820.0,3697.0,8,8,7,887,888,0,576,867,445,887,0,877,888,887,887,0,324,877,888,877,887,123,0,224,China,big_chinese_city
975,909533469.0,287005.0,13181.0,8,8,8,888,888,0,887,888,888,888,0,888,888,888,888,688,888,888,888,668,888,767,774,757,China,big_chinese_city
755,889488191.0,189331.0,8938.0,8,8,8,888,778,0,0,878,777,888,0,888,888,888,888,778,447,888,888,868,888,788,0,887,China,big_chinese_city
615,874862853.0,265041.0,12959.0,8,8,8,888,778,0,323,888,788,888,0,888,888,888,888,556,877,888,888,877,888,878,0,767,China,big_chinese_city
872,835884462.0,83943.0,3352.0,8,8,7,887,846,0,0,888,435,888,0,888,774,887,867,111,0,857,877,456,887,555,0,656,China,big_chinese_city
712,785441554.0,478591.0,29874.0,8,8,8,888,888,0,114,888,888,888,0,888,888,888,888,655,866,888,888,888,888,788,0,777,China,big_chinese_city
601,652538356.0,149958.0,3186.0,8,8,7,887,335,0,0,324,677,887,0,888,767,887,887,0,0,885,887,334,888,0,0,0,China,big_chinese_city
