user_id,Books,Business,Education,Entertainment,Finance,Games,Health&Fitness ,Lifestyle ,Music,Navigation,News,Photo&Video,References ,Shopping,Social_Networking,Travel,Utilities,Weather,infant&mom,sports,cluster
942,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,8
772,555,0,555,555,555,555,454,555,555,555,555,555,555,555,555,555,555,555,541,555,12
837,555,0,554,555,555,555,223,555,555,555,555,555,555,555,555,555,555,555,0,555,18
723,555,0,321,555,555,555,0,555,555,555,555,555,555,555,555,555,555,555,221,555,7
667,555,0,555,555,555,555,354,555,555,555,555,334,555,555,555,555,555,555,0,455,18
832,555,0,0,555,555,555,0,555,555,555,555,445,555,555,555,555,555,455,553,555,23
836,555,0,444,555,555,555,345,555,555,555,555,455,555,555,555,555,555,555,0,555,18
521,0,0,0,0,334,555,0,555,332,455,555,0,0,121,555,222,555,0,0,0,13
782,555,0,444,555,555,555,0,555,555,555,555,545,555,555,555,555,555,445,0,555,7
843,544,0,0,555,555,555,0,555,555,555,555,555,554,555,555,555,555,0,0,444,1
516,544,0,0,434,555,544,0,545,455,555,555,0,555,443,555,444,555,223,0,544,4
315,444,0,0,555,323,555,0,454,545,555,555,322,335,433,555,343,555,455,0,555,4
783,555,0,0,555,555,555,0,555,555,555,555,444,555,555,555,555,555,555,0,555,4
979,555,0,445,555,555,555,0,555,555,555,555,431,544,555,555,555,555,555,0,553,7
655,555,0,0,555,555,555,321,555,545,555,344,212,422,443,555,555,555,0,0,555,20
95,122,0,0,324,424,555,0,523,0,554,555,0,0,522,554,222,555,0,0,0,15
225,223,0,0,0,0,552,0,212,0,452,553,0,0,111,552,211,553,0,0,0,13
325,555,0,354,544,333,555,0,554,555,555,555,0,223,554,555,545,555,112,0,223,7
975,555,0,555,555,555,555,0,555,555,555,555,455,555,555,555,445,555,445,553,535,23
755,455,0,0,545,455,555,0,555,555,555,555,455,334,555,555,545,555,555,0,555,4
615,555,0,212,555,555,555,0,555,555,555,555,334,544,555,555,545,555,555,0,544,4
872,534,0,0,555,323,555,0,555,543,555,544,111,0,534,545,334,555,333,0,434,4
712,555,0,113,555,555,555,0,555,555,555,555,443,544,555,555,555,555,555,0,544,4
601,223,0,0,212,445,554,0,555,444,555,554,0,0,553,555,223,555,0,0,0,15
497,533,0,0,444,334,555,0,555,555,555,555,222,0,223,555,555,555,211,0,334,4
718,555,555,134,555,544,555,0,444,555,555,555,444,554,544,555,544,555,223,0,323,8
731,545,0,332,555,444,555,0,445,555,555,345,444,444,345,555,554,555,543,0,224,7
13,544,0,555,555,555,555,0,555,555,555,555,334,545,555,555,555,555,334,0,555,7
397,121,0,0,523,112,555,0,555,445,555,545,122,0,223,545,223,555,233,222,0,15
763,423,0,0,555,555,555,0,555,555,555,555,454,455,455,555,555,555,555,0,312,4
824,555,0,555,555,444,555,0,555,555,555,555,453,454,555,555,444,555,111,0,555,7
793,555,0,223,455,555,555,0,555,555,555,555,555,455,555,555,555,555,434,0,322,7
202,0,0,0,542,223,433,0,544,532,543,554,0,0,111,534,543,544,423,0,0,15
933,334,0,0,334,334,444,0,324,555,555,555,0,334,555,555,334,555,0,0,555,4
626,0,0,0,454,555,455,0,455,554,454,553,0,0,335,554,555,555,555,0,0,9
48,555,0,111,555,322,555,0,555,545,555,555,323,323,555,555,444,555,555,0,444,4
990,555,0,0,555,555,555,0,555,555,555,555,222,555,555,555,545,555,344,0,233,4
433,0,0,0,432,0,433,0,323,111,434,554,554,111,212,533,0,444,0,0,0,3
988,324,0,312,555,444,555,0,555,554,555,555,234,555,555,555,555,555,555,0,444,7
840,222,0,0,543,111,434,0,434,423,323,533,222,333,533,543,222,522,0,0,111,24
179,111,0,0,544,444,555,0,554,344,555,555,552,324,545,555,444,555,343,0,323,4
47,443,0,0,445,533,555,433,555,555,555,555,0,555,433,555,554,545,0,0,312,20
288,553,0,112,555,445,555,0,555,444,455,555,0,444,555,555,555,555,232,0,555,4
733,534,0,0,444,555,555,0,555,555,555,555,454,555,554,555,554,555,544,0,555,4
602,455,0,0,555,554,445,0,555,445,555,545,111,555,444,555,545,555,344,0,444,4
262,0,0,0,322,0,543,0,431,221,423,542,554,332,0,532,111,532,0,0,0,13
138,555,0,0,555,454,555,0,555,555,555,555,122,334,555,555,554,555,444,0,444,4
624,554,241,0,545,544,554,0,555,555,555,555,532,445,544,555,544,555,332,0,443,8
764,445,0,555,445,555,555,0,555,555,555,445,455,445,555,555,444,555,434,0,223,7
63,534,0,0,543,544,333,0,554,554,534,544,532,344,323,534,344,543,555,0,0,9
754,222,0,0,553,223,544,0,552,554,554,534,543,223,131,554,333,544,112,0,555,1
722,555,0,0,555,555,555,0,555,555,555,445,555,555,445,555,555,555,445,0,455,4
396,424,0,544,545,344,555,0,555,434,555,555,0,224,555,555,544,555,0,0,123,7
765,455,0,0,344,555,555,0,555,555,555,434,555,555,334,555,555,555,333,0,433,1
11,555,0,0,545,554,555,0,555,555,555,555,333,444,555,555,444,555,433,0,323,4
474,423,0,0,444,554,555,0,544,555,545,545,0,233,424,555,324,555,533,0,121,4
57,435,0,0,555,223,545,543,544,444,545,555,122,232,544,555,545,455,555,0,555,20
779,434,0,0,444,544,555,0,555,555,545,434,444,455,444,555,454,544,111,0,444,1
174,555,0,0,555,343,555,0,555,555,555,555,432,344,544,555,555,555,555,0,555,4
511,0,0,0,554,0,221,0,443,0,552,553,0,0,554,532,111,552,0,0,0,15
815,555,0,0,455,445,555,0,555,555,555,334,554,455,555,555,555,555,323,0,334,1
802,544,0,111,544,532,544,0,555,534,554,555,434,544,543,544,555,544,553,0,444,4
69,555,0,0,545,433,555,0,555,444,555,544,111,333,344,555,444,555,445,0,444,4
777,544,0,344,454,544,554,0,554,555,554,545,333,543,544,554,554,554,0,0,354,7
190,555,0,0,555,542,545,0,555,444,555,554,0,333,555,554,444,555,234,0,232,4
839,444,0,433,554,454,555,0,445,555,555,434,555,554,545,555,555,555,433,0,122,7
112,0,0,0,555,111,533,0,444,334,554,555,111,112,111,544,544,544,0,0,555,15
973,112,0,332,545,422,545,0,543,444,444,554,211,323,333,555,444,444,534,0,444,7
941,0,0,0,555,243,555,0,554,455,555,444,0,424,555,555,434,555,554,0,223,9
746,455,0,0,554,444,555,0,555,555,455,345,543,343,554,555,555,555,112,0,333,1
819,354,0,0,545,344,554,0,555,555,555,444,332,334,544,555,555,554,454,0,111,4
759,323,0,0,433,445,545,0,354,444,544,555,444,445,334,545,444,544,555,0,111,9
798,344,0,0,555,555,555,0,555,555,555,555,555,455,445,555,555,555,555,0,344,4
834,434,0,0,445,345,555,0,555,444,445,434,555,455,332,555,555,455,223,0,111,1
838,555,0,0,445,555,555,0,555,555,555,455,555,455,455,555,555,455,0,0,322,1
766,445,0,222,111,455,554,0,444,555,555,434,555,555,423,555,555,555,0,0,0,1
982,544,0,0,555,455,445,0,434,555,445,445,345,555,444,555,555,444,223,0,234,1
568,111,0,0,453,442,543,0,543,532,543,432,0,0,111,543,333,543,435,0,0,9
891,555,0,0,555,434,555,111,555,455,555,555,433,455,545,555,555,555,222,0,555,4
705,555,0,0,455,445,555,0,555,555,555,555,211,334,454,555,344,555,333,0,554,4
18,544,0,0,534,434,544,0,434,544,534,555,212,432,444,544,533,544,555,0,232,4
477,0,0,0,0,0,343,0,333,121,233,222,0,0,0,553,112,344,0,0,0,19
993,111,0,555,222,455,544,344,555,544,555,434,0,223,434,544,334,554,444,0,434,18
211,442,0,0,555,555,555,0,555,555,555,555,0,423,555,555,555,555,0,0,555,4
946,533,0,0,555,555,555,0,555,434,555,555,433,222,444,555,334,555,0,0,322,1
8,444,0,0,555,333,555,0,454,555,555,555,222,211,455,555,555,555,555,445,555,23
894,223,0,0,344,554,344,0,433,344,544,545,0,522,524,555,434,555,222,0,344,4
790,555,0,444,555,455,555,0,555,555,555,545,555,455,555,555,555,555,555,0,445,7
28,344,0,143,555,455,455,334,555,555,555,555,345,542,555,555,455,555,334,0,455,20
799,543,0,0,111,223,421,0,521,444,521,112,543,122,541,421,543,521,0,0,0,1
952,544,0,233,555,454,555,0,555,555,555,555,445,323,555,555,555,555,0,0,545,1
235,542,0,0,455,555,555,0,455,334,455,455,0,345,333,555,555,555,222,0,445,4
444,434,0,0,544,112,444,0,433,344,545,544,222,435,442,544,434,544,111,0,0,24
306,444,0,0,545,544,555,0,544,555,555,555,332,444,434,455,434,555,322,0,554,4
522,333,0,0,555,555,555,0,555,555,555,555,111,345,555,555,545,555,555,0,0,4
438,442,0,223,344,433,544,0,544,544,534,443,223,0,455,534,323,544,222,0,0,7
61,111,0,555,423,111,434,0,444,554,544,433,0,522,333,544,222,554,0,0,112,16
691,555,0,0,544,535,445,0,555,443,555,545,111,111,544,544,334,545,344,0,444,4
665,332,0,0,534,422,555,0,555,322,524,545,0,553,545,534,434,534,344,0,223,4
742,555,0,0,434,444,554,0,454,555,554,444,555,554,555,555,555,554,544,0,445,4
676,554,0,0,545,555,555,555,555,334,555,555,111,543,555,555,555,555,455,0,555,20
208,212,0,0,544,554,455,0,555,444,555,555,121,544,554,555,555,555,354,0,211,4
800,344,0,0,333,223,445,555,445,543,545,544,223,533,455,555,555,445,0,0,233,20
548,112,334,111,554,543,443,0,443,554,544,554,322,243,333,544,444,543,111,0,554,8
77,0,0,0,454,455,555,541,443,222,555,445,0,552,333,555,555,455,111,0,0,20
65,445,0,0,434,443,435,0,534,555,445,555,333,534,445,555,545,545,445,0,444,4
897,122,0,0,444,554,111,0,0,112,553,211,0,111,453,542,111,552,0,0,555,21
750,212,0,0,445,444,455,0,555,444,555,444,443,232,344,555,555,455,555,0,0,9
943,555,0,0,445,334,555,0,555,444,555,555,544,344,555,555,544,455,0,0,444,1
806,444,0,0,544,444,445,111,555,445,455,555,344,232,555,555,544,455,555,0,234,4
854,0,0,0,344,121,555,0,555,444,554,544,0,0,454,554,533,554,0,0,555,15
999,544,0,0,555,455,555,0,555,555,555,435,545,534,554,555,444,545,334,0,434,1
25,112,0,0,555,243,533,0,432,445,533,323,311,222,211,543,334,433,422,0,0,9
537,111,0,0,554,111,555,0,323,223,554,355,344,554,332,444,555,544,0,0,0,24
995,444,0,211,544,544,544,0,545,555,445,434,555,345,344,555,444,545,534,0,455,4
